Site_ID,Natural Community,Macrogroup,Plot_ID,SP_Richness,EIA_score_NOSIZE,EIA_RANK_NOSIZE,cwCOC,cwFQI,avCOC,Percent_native plants,Plot number,OLDcwCOC,OLD_cwFQI,OLDavCOC,Size (m^2),Region
164,Silver maple floodplain forest,Large river floodplain,234,9,3.061333333,B,5.555555556,16.66666667,4.888888889,1,,5.148148148,15.44444444,4.555555556,,58
137,High - gradient hardwood floodplain forest,Large river floodplain,196,25,3.111666667,B,4.55033557,22.75167785,4.64,1,1,3.657718121,18.2885906,3.72,400,58
15,Hardwood river terrace forest,Large river floodplain,21,19,3.139827752,B,5.626865672,24.52693883,4.684210526,1,1,5.661691542,24.67874128,4.421052632,400,82
15,Hardwood river terrace forest,Large river floodplain,22,29,3.139827752,B,4.944134078,26.62497684,4.448275862,0.988826816,2,4.798882682,25.84277413,4.24137931,400,82
123,Hardwood river terrace forest,Large river floodplain,176,30,3.163333333,B,4.61627907,25.28440178,4.966666667,1,1,4.108527132,22.50332988,4.333333333,400,58
127,Silver maple floodplain forest,Large river floodplain,183,26,3.196666667,B,4.504761905,22.96986886,3.538461538,0.976190476,1,4.233333333,21.58584927,3.269230769,400,82
127,Silver maple floodplain forest,Large river floodplain,184,35,3.196666667,B,4.286549708,25.35957006,3.8,1,2,3.83625731,22.69560431,3.485714286,400,82
10,Alder floodplain,Large river floodplain,15,27,3.196725271,B,3.59047619,18.65666156,3.851851852,0.995238095,1,2.99047619,15.5389701,3.62962963,400,82
71,Hardwood river terrace forest,Large river floodplain,105,33,3.201458174,B,4.722972973,27.13141412,3.939393939,0.97972973,1,4.614864865,26.51038032,3.727272727,400,82
164,Hardwood river terrace forest,Large river floodplain,235,18,3.201666667,B,5.320895522,22.57464784,5.388888889,0.992537313,,5.223880597,22.16304837,5.111111111,,58
155,Silver maple floodplain forest,Large river floodplain,215,6,3.205666667,B,5.236842105,12.82759102,4.666666667,1,1,5.335526316,13.06931698,3.833333333,,58
155,Silver maple floodplain forest,Large river floodplain,216,10,3.205666667,B,4.028985507,12.74077086,4.2,1,4,3.992753623,12.62619559,3.9,,58
155,Silver maple floodplain forest,Large river floodplain,217,18,3.205666667,B,3.613095238,15.32906486,3.833333333,1,5,3.333333333,14.14213562,3.333333333,400,58
155,Silver maple floodplain forest,Large river floodplain,218,12,3.205666667,B,4.697674419,16.27322154,4,1,6,4.217054264,14.60830449,3.5,400,58
5,Silver maple floodplain forest,Large river floodplain,7,20,3.212640563,B,3.503311258,15.66728424,3.4,1,1,2.754966887,12.32058647,3.1,400,82
116,Balsam poplar floodplain forest,Large river floodplain,172,13,3.245,B,4.609625668,16.62024171,3.692307692,1,1,3.497326203,12.60978895,3.076923077,,58
77,Silver maple floodplain forest,Large river floodplain,116,32,3.245,B,3.316037736,18.75834216,3.96875,0.985849057,1,2.811320755,15.90323176,3.75,400,82
77,Silver maple floodplain forest,Large river floodplain,117,27,3.245,B,3.455782313,17.95677164,3.555555556,0.972789116,2,2.850340136,14.8108018,3.222222222,400,82
14,Hardwood river terrace forest,Large river floodplain,20,41,3.25348481,B,4.547263682,29.11669429,3.975609756,0.990049751,2,4.388059701,28.09729143,3.87804878,400,82
161,Silver maple floodplain forest,Large river floodplain,229,12,3.262856667,B,5.0625,17.53701443,5.166666667,1,1,5,17.32050808,4,,58
161,Silver maple floodplain forest,Large river floodplain,230,13,3.262856667,B,4.416058394,15.92232498,4.076923077,1,2,4.04379562,14.58011246,3.230769231,,58
23,Silver maple floodplain forest,Large river floodplain,28,14,3.271371431,B,4.365591398,16.3345473,4.571428571,1,1,3.833333333,14.34301998,4.214285714,400,82
21,High Gradient Floodplain Forest,Large river floodplain,26,43,3.281690659,B,3.427906977,22.47828927,3.488372093,0.986046512,1,2.744186047,17.9948313,3.23255814,400,82
14,Silver maple floodplain forest,Large river floodplain,19,36,3.283124841,B,4.416666667,26.5,3.472222222,0.971014493,1,4.235507246,25.41304348,3.361111111,400,82
131,White oak - red oak forest,,188,20,3.315,B,4.317307692,19.30758696,4.65,1,1,3.096153846,13.84642094,3.6,400,59
152,Red maple - sensitive fern swamp,Northern swamp,211,18,3.326666667,B,3.666666667,15.55634919,4.222222222,1,1,3,12.72792206,3.333333333,400,58
154,Silver maple floodplain forest,Large river floodplain,212,22,3.33,B,4.985074627,23.38207259,4.818181818,1,1,4.559701493,21.38689574,4.227272727,,58
